"real_estate_number","owner","address","city","zip_code","sale_date","sale_price"
"059261-0000","136 ELLIS LLC","136 ELLIS RD N","Jacksonville","32254","2023/01/03 00:00:00",1200000
"169158-0010","RIVERA JORGE L","10028 HECKSCHER DR ","Jacksonville","32226","2023/02/06 00:00:00",1200000
"108771-0010","BEHR ENTERPRISES LLC","479 ZOO PKWY ","Jacksonville","32226","2023/05/31 00:00:00",1075000
"090071-0000","BLUEBOARD OZ LLC","445 PARK ST ","Jacksonville","32204","2023/09/01 00:00:00",1050000
"044935-0000","FOC JP PROP 8 LLC","2315 HUBBARD ST ","Jacksonville","32206","2023/08/18 00:00:00",945000
"089703-0000","C & R GENERAL CONTRACTORS INC","2205 EDISON AVE ","Jacksonville","32204","2023/11/13 00:00:00",925000
"145338-0000","BEST PRICE FURNITURE & BEDDING LLC","9075 ATLANTIC BLVD ","Jacksonville","32211","2023/03/29 00:00:00",900000
"120878-0300","720 MILL CREEK ROAD LLC","720 MILL CREEK RD ","Jacksonville","32211","2023/04/28 00:00:00",866000
"005163-0000","BLUE DOLPHIN TRANSPORT INC","6507 BEAVER ST W","Jacksonville","32254","2023/03/14 00:00:00",825000
"059329-0050","ELITE PROPERTY OF FLORIDA LLC","5174 BEAVER ST W","Jacksonville","32254","2023/12/15 00:00:00",800000
"170731-0000","210 MAYPORT ROAD LLC","210 MAYPORT RD ","Atlantic Beach","32233","2023/07/28 00:00:00",800000
"060192-0000","JAMC HOLDINGS LLC","520 CYNTHIA ST ","Jacksonville","32254","2023/10/17 00:00:00",722500
"058903-0010","GENUINE BUMPERS LLC","4043 LENOX AVE ","Jacksonville","32254","2023/03/29 00:00:00",700000
"048926-0060","NORTH AMERICAN TRUCKING COMPANY LLC","1932 DAHLIA RD ","Jacksonville","32254","2023/03/24 00:00:00",669000
"072457-0000","SWEETEES INC","1415 WALNUT ST ","Jacksonville","32206","2023/09/26 00:00:00",650000
"114026-0000","RKL INDUSTRIAL 2 LLC","1717 EVERGREEN AVE ","Jacksonville","32206","2023/07/14 00:00:00",630000
"076295-0000","1300 BEAVER JAX LLC","1300 BEAVER ST W","Jacksonville","32209","2023/05/25 00:00:00",600000
"059328-0040","GUARDIAN FENCE AND GATES LLC","5220 BEAVER ST W","Jacksonville","32254","2023/03/03 00:00:00",565000
"109601-0050","UNIVERSAL ENVIRONMENTAL SERVICES LLC","11640 CAMDEN RD ","Jacksonville","32218","2023/11/28 00:00:00",555000
"072953-0000","FERRIGNO PROPERTY 3 LLC","956 LIBERTY ST ","Jacksonville","32206","2023/10/03 00:00:00",550000
"057364-0000","SHAWS LAND CLEARNING LLC","2708 BEAVER ST W","Jacksonville","32254","2023/03/29 00:00:00",530000
"059330-0020","HASALLA FURNITURE INC","5120 BEAVER ST W","Jacksonville","32254","2023/05/08 00:00:00",526000
"077188-0000","BACHELOR PROPERTIES II LLC","108 COPELAND ST ","Jacksonville","32204","2023/05/19 00:00:00",500000
"089647-0100","SMC3 PROPERTIES LLC","532 SAMPLES ST ","Jacksonville","32204","2023/09/21 00:00:00",500000
"167452-7385","505 WHEELHOUSE LLC","14105 W M DAVIS PKWY ","Jacksonville","32224","2023/04/03 00:00:00",500000
"167452-7145","SPIRES INVESTMENTS LLC","14105 WM DAVIS PKWY ","Jacksonville","32224","2023/10/31 00:00:00",495000
"165427-0676","GRADUM HOLDINGS LLC","3653 REGENT BLVD ","Jacksonville","32224","2023/07/18 00:00:00",490000
"108550-0000","MS REALTY SOLUTIONS LLC","11031 MAIN ST N","Jacksonville","32218","2023/04/17 00:00:00",475000
"115153-0000","ORLO COMMERCIAL PROPERTY LLC","1408 HAINES ST ","Jacksonville","32206","2023/06/09 00:00:00",455000
"059319-0030","5352 HIGHWAY JACKSONVILLE LLC","5352 HIGHWAY AVE ","Jacksonville","32254","2023/07/10 00:00:00",450000
"005045-0020","MATA FRANCISCO ALEXANDER","6629 MURIEL ST ","Jacksonville","32254","2023/08/01 00:00:00",425000
"005165-0010","T&T MANUFACTURING INC","5901 BEAVER ST W","Jacksonville","32254","2023/12/14 00:00:00",404400
"147726-0000","LUCAS HOSPITALITY LLC","2633 POWERS AVE ","Jacksonville","32207","2023/03/01 00:00:00",400000
"059593-0010","NETTLES WINFORD","455 ROBERTS ST ","Jacksonville","32254","2023/09/19 00:00:00",360000
"077172-0000","PROPERTIES STRATA","69 COPELAND ST ","Jacksonville","32204","2023/01/09 00:00:00",350000
"165427-0668","NEXGEN VI LLC","3653 REGENT BLVD ","Jacksonville","32224","2023/04/28 00:00:00",350000
"064676-0000","WELLMAN JENA P","2650 PHYLLIS ST ","Jacksonville","32204","2023/07/07 00:00:00",330000
"167452-7400","IRREVOCABLE TRUST AGREEMENT F/B/O ANGELA SPARKS","14105 W M DAVIS PKWY ","Jacksonville","32224","2023/02/22 00:00:00",315000
"143749-0010","TURCAN DENIS","9123 HARE AVE ","Jacksonville","32211","2023/03/02 00:00:00",305000
"072457-0000","SWEETEES INC","1415 WALNUT ST ","Jacksonville","32206","2023/07/21 00:00:00",300000
"084338-0000","CHIP SHOT PROPERTIES LLC","4121 CANAL ST N","Jacksonville","32209","2023/01/06 00:00:00",300000
"124092-0000","GOLOBOROTKO SHEILA ET AL","3218 PEACH DR ","Jacksonville","32246","2023/04/07 00:00:00",300000
"157085-0120","ITOP BUILDER LLC","6510 COLUMBIA PARK DR ","Jacksonville","32258","2023/11/22 00:00:00",290000
"005148-1006","FLORIDA IMPACT DOORS LLC","6973 HIGHWAY AVE ","Jacksonville","32254","2023/05/05 00:00:00",285000
"141295-0020","1511 MARCHECK LLC","1511 MARCHECK ST ","Jacksonville","32211","2023/07/27 00:00:00",280000
"155607-5550","206 FLORIDA HOLDINGS LLC","5570 FLORIDA MINING BLVD S","Jacksonville","32257","2023/10/12 00:00:00",263500
"135617-0015","ANDREU EDUARDO SANTANA","5417 BARKER ST ","Jacksonville","32207","2023/03/10 00:00:00",250000
"161780-0560","CPDR 1 LLC","757 ST JOHNS BLUFF RD N","Jacksonville","32225","2023/03/14 00:00:00",250000
"109109-0055","EVEL REAL ESTATE LLC","10418 NEW BERLIN RD ","Jacksonville","32226","2023/04/17 00:00:00",230000
"057719-0000","T&T CAPITAL HOLDINGS INC","2655 BEAVER ST W","Jacksonville","32254","2023/12/04 00:00:00",200000
"067014-0000","HOLMAN HOLDINGS LLC","1221 ELLIS RD ","Jacksonville","32205","2023/09/08 00:00:00",150000
"141271-0000","MR TACO COMISARIA LLC","1202 MARCHECK ST ","Jacksonville","32211","2023/11/21 00:00:00",130000
"077359-0000","4149 ST AUGUSTINE ROAD LLC","735 CANAL ST ","Jacksonville","32209","2023/11/14 00:00:00",79900
"088054-0000","UNWINED INC ET AL","327 WOODBINE ST ","Jacksonville","32206","2023/06/29 00:00:00",55000
"059284-0000","GUARDERAS ARTURO ALBERCA","0 EDGEWOOD AVE ","Jacksonville","32254","2023/09/22 00:00:00",27000
